TxnDate,AccountNumber,AccountName,Debit,Credit,Currency
2023-12-31,1010,Cash,72.1,0.0,USD
2023-12-31,1100,Accounts Receivable,55.0,0.0,USD
2023-12-31,1200,Inventory,30.0,0.0,USD
2023-12-31,1300,Prepaid Expenses,8.0,0.0,USD
2023-12-31,1400,Other Current Assets,5.0,0.0,USD
2023-12-31,1500,"Property, Plant & Equipment - Gross",160.0,0.0,USD
2023-12-31,1590,Accumulated Depreciation,0.0,40.0,USD
2023-12-31,2000,Accounts Payable,0.0,45.0,USD
2023-12-31,2100,Accrued Payroll,0.0,12.0,USD
2023-12-31,2200,Deferred Revenue,0.0,10.0,USD
2023-12-31,2300,Interest Payable,0.0,2.0,USD
2023-12-31,2400,Other Current Liabilities,0.0,5.0,USD
2023-12-31,2500,Income Taxes Payable,0.0,3.0,USD
2023-12-31,2600,Long-Term Debt,0.0,60.0,USD
2023-12-31,3000,Common Stock and Additional Paid-In Capital,0.0,80.0,USD
2023-12-31,3100,Retained Earnings,0.0,55.0,USD
2023-12-31,3300,Dividends Declared,5.0,0.0,USD
2023-12-31,4000,Revenue,0.0,520.0,USD
2023-12-31,5000,Cost of Goods Sold,265.0,0.0,USD
2023-12-31,5100,Distribution Expenses,70.0,0.0,USD
2023-12-31,5200,Marketing and Administration,120.0,0.0,USD
2023-12-31,5300,Research and Development,15.0,0.0,USD
2023-12-31,5400,Depreciation Expense,14.0,0.0,USD
2023-12-31,5500,Interest Expense,6.0,0.0,USD
2023-12-31,5600,Income Tax Expense,6.9,0.0,USD
2024-12-31,1010,Cash,96.865,0.0,USD
2024-12-31,1100,Accounts Receivable,62.0,0.0,USD
2024-12-31,1200,Inventory,34.0,0.0,USD
2024-12-31,1300,Prepaid Expenses,9.0,0.0,USD
2024-12-31,1400,Other Current Assets,6.0,0.0,USD
2024-12-31,1500,"Property, Plant & Equipment - Gross",190.0,0.0,USD
2024-12-31,1590,Accumulated Depreciation,0.0,55.0,USD
2024-12-31,2000,Accounts Payable,0.0,52.0,USD
2024-12-31,2100,Accrued Payroll,0.0,13.0,USD
2024-12-31,2200,Deferred Revenue,0.0,11.0,USD
2024-12-31,2300,Interest Payable,0.0,2.5,USD
2024-12-31,2400,Other Current Liabilities,0.0,6.0,USD
2024-12-31,2500,Income Taxes Payable,0.0,4.0,USD
2024-12-31,2600,Long-Term Debt,0.0,70.0,USD
2024-12-31,3000,Common Stock and Additional Paid-In Capital,0.0,85.0,USD
2024-12-31,3100,Retained Earnings,0.0,73.1,USD
2024-12-31,3300,Dividends Declared,8.0,0.0,USD
2024-12-31,4000,Revenue,0.0,590.0,USD
2024-12-31,5000,Cost of Goods Sold,300.0,0.0,USD
2024-12-31,5100,Distribution Expenses,78.0,0.0,USD
2024-12-31,5200,Marketing and Administration,130.0,0.0,USD
2024-12-31,5300,Research and Development,16.0,0.0,USD
2024-12-31,5400,Depreciation Expense,15.0,0.0,USD
2024-12-31,5500,Interest Expense,6.5,0.0,USD
2024-12-31,5600,Income Tax Expense,10.235,0.0,USD
